Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39130954973,28688401824,33439475935,39263540795,45972902797,57787490580,64894794039,59463856166,63863243274,62165653001,58807373917,64375366980,78425201661,95292637102,113976595103,130052587646,148345132743,180511089207,225448740480,197218258132,198929319372,217026553672
Denmark,DNK,6248946880,6933842099,7812968114,8316692386,9506678763,10678897387,11721248101,12788479692,13196541952,15009384585,16590533333,18515546100,22591052336,29961815026,33346568442,39593296439,43676095947,48854777452,59296231821,69160805930,69709363190,60373978718,58937160962,59204811372,57714597455,61203805066,86365467804,107366343581,113230780658,110058411535,135838154025,136693973267,150195490466,140626629035,153593214477,181983614165,184435821822,170435460671,173653145893,173944697686,160082517846,160476161869,173880831444,212621855883,244727978021,257675536234,274376889678,311417601999,343881383958,310544743670,313365836299,333616014898
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,340989542,,373371753,395794554,409220103,452328105,462422017,478058324,466048487,491689240,497723980,494004667,502675562,514267889,536080169,551230862,572417441,591122040,622044666,666072102,708843637,768873684,847918929,982534422,1049054417,,
Dominica,DMA,,,,,,,,,,,,,,,,,,36370370,45170370,44296296,59099999,66218517,72051851,79925925,89848147,98585183,112074072,126348146,143766658,153374077,166322225,180437034,191759262,200418509,215459267,224037021,236444440,245781477,258440730,267740736,324463833,330949850,326998081,340803913,366976849,361615918,387724739,418759930,462166696,481257770,471851099,484137160
Dominican Republic,DOM,672399744,654100160,824099968,940799872,1025599872,888099968,983900032,1034800000,1079100032,1230499968,1485400064,1666400000,1987299968,2344699904,2925600000,3599300096,3951399936,4587100160,4774400000,5498800128,6631000064,7266999808,7964000256,8622000128,10330399744,5044579959,6122128260,5827050853,5374300248,6686592727,7073674722,9724379020,11277694537,12976408000,14511134921,16358496124,18131813001,19593449903,21171235998,21709041189,23996656676,24894907435,26570402719,21268012747,22039232610,34004033804,35952845583,41314666869,45805370532,46788255295,51576212063,55611245616
Ecuador,ECU,1010325080,979108816,958598183,1038389646,1156150862,1237593189,1333639229,1459699786,1558747201,1738833527,1674802833,1619776520,1931926152,2594243513,3927882998,4651229549,5686725733,6925319593,7778728875,9588596390,11900704786,13974698912,13194324575,11188362806,11386458405,11840675754,10309942622,9099361934,9098361006,9527567455,10355963787,11348439540,11996750826,15063220705,18581908127,20205685541,21278200686,23647336355,23266151903,16681996554,15941641913,21250000896,24717858000,28409459000,32645622000,36942384000,41705009000,45503563000,54208524000,52021861000,57978116000,65945432310
"Egypt, Arab Rep.",EGY,4144244345,4334054779,4003322844,4160465776,4781695715,5111620995,5339520809,5579168494,6109112180,6861743625,7682492054,8266003518,8763960987,9616725511,9015166924,11437965433,13360477195,14636028524,14849909083,18150000949,22912499712,23405404412,25592366135,28137368590,30642873686,34689560502,35880262453,40507934104,35044633281,39648442465,43130415154,36970555122,41855483504,46578631213,51897983716,60159244485,67629717780,78436575744,84828807270,90710703939,99838540997,97632008051,87850680573,82923680622,78845185709,89685724889,107484034648,130477817194,162818181818,188984088127,218894280920,229530568260
El Salvador,SLV,625600000,636240000,706080000,746159936,822439936,877719962,929520026,976199987,1009760051,1049400013,1132920013,1186119987,1263720038,1442319974,1665879962,1884120064,2328280064,2941640090,3127959962,3463639859,3573959885,3437200179,3399189150,3506347772,3661683396,3800368587,3771663198,3958045811,4189880000,4372215335,4800907895,5310996633,5954671446,6937988506,8085554286,9500491429,10315542857,11134716450,12008418171,12464655104,13134147768,13812744074,14306700000,15046700000,15798300000,17093800000,18550700000,20104900000,21431000000,20661000000,21427900000,23054100000
Equatorial Guinea,GNQ,,,9122752,10840095,12712471,64748333,69110000,72317447,67514286,67225714,66331429,64946955,65429198,81203227,94159863,104295643,103653050,103987520,,,,,,,,79590807,98848733,119714630,127202887,112007296,132134192,130596844,154183096,152128984,125744104,163980574,259073826,497742517,455799968,872016821,1242848857,1736116149,2146760314,2952359370,5240842261,8217368425,9602960533,12575148296,18425039290,12222195530,14500472162,19789801404
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477101652,467876294,531688312,578015625,693535954,686494476,745526149,688921326,633600000,687595191,675480057,870232528,1109048051,1098393404,1211186992,1317983740,1380162602,1856715447,2117008130,2608715447
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3776934625,4727878867,5052080280,5593919520,5709013424,5675170444,6237914989,7318191229,9840744921,12025938550,13905511615,16798533760,21993654861,23781594463,19117640930,18845657895,22154722222
Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,,7269140974,7649012448,8502745002,8034754139,9408755195,9773749424,10447188525,10825913264,11389270974,12082576935,13361446739,10413161613,7486998944,7275645137,7722826198,8438287538,8611277063,7804203961,7401932702,8110734420,8043401363,7768270549,8538944626,10035332657,12285636790,15133574760,19182433616,25865530705,28477113323,26575263836,30247359642
Faeroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105688873,1125684470,1062339944,1154899793,1268445919,1486861879,1683997930,1730894295,1970135199,2278229880,2412859693,2198138372,,
